text,intent
hello,greeting
hi,greeting
hey,greeting
good morning,greeting
good evening,greeting
good afternoon,greeting
hi there,greeting
hello there,greeting
hey there,greeting
what's up,greeting
howdy,greeting
greetings,greeting
hi buddy,greeting
hello friend,greeting
hey buddy,greeting
good to see you,greeting
nice to meet you,greeting
hey how are you,greeting
hello how can i help,greeting
hi how are you doing,greeting
hey what is going on,greeting
good day to you,greeting
hello is anyone there,greeting
hi i need some help,greeting
hey can you help me,greeting
good morning how are you,greeting
hi there how can i help,greeting
hello i have a question,greeting
hey i want to ask something,greeting
hi good to see you,greeting
hello can you assist me,greeting
greetings how may i help,greeting
hey there good morning,greeting
hi there good evening,greeting
good evening how are you,greeting
hello hope you are well,greeting
hi there nice to meet you,greeting
hey there what is up,greeting
hello there how are you,greeting
good morning nice to meet you,greeting
bye,bye
goodbye,bye
see you,bye
see you later,bye
take care,bye
good night,bye
have a nice day,bye
catch you later,bye
farewell,bye
i am leaving,bye
ok bye,bye
good day,bye
until next time,bye
later,bye
talk to you later,bye
have a good day,bye
see you soon,bye
goodbye take care,bye
bye bye,bye
i will talk to you later,bye
have a wonderful day,bye
good night sleep well,bye
catch you soon,bye
i am going now,bye
bye for now,bye
see you tomorrow,bye
goodbye for now,bye
take care bye,bye
i must go now,bye
alright goodbye,bye
ok see you,bye
alright see you later,bye
bye have a nice day,bye
goodbye see you soon,bye
i am heading out,bye
ok good night,bye
alright take care,bye
i will be back later,bye
goodbye until next time,bye
ok farewell,bye
what is the price,price
how much does it cost,price
what is the cost,price
tell me the price,price
how much is it,price
what are the charges,price
give me the price list,price
how much do i need to pay,price
what is the fee,price
is it expensive,price
what is the rate,price
how much for this,price
tell me the cost,price
what is the pricing,price
is there any discount,price
how much will it cost me,price
what is the total price,price
can you tell me the price,price
what does it cost,price
how much should i pay,price
is there any offer,price
what is the selling price,price
can i get a discount,price
what are the prices,price
how much is the fee,price
tell me about the pricing,price
what is the charge for this,price
is this affordable,price
how much does this product cost,price
what are the payment charges,price
tell me the rate,price
what is the cost of this item,price
how much do you charge,price
what is the price range,price
is there a special price,price
how much for the service,price
what are your rates,price
can i know the price,price
what is the discounted price,price
how much does the plan cost,price
i need help,help
can you help me,help
i have a problem,help
please assist me,help
i need support,help
something is not working,help
i am facing an issue,help
help me please,help
i need assistance,help
can you assist me,help
there is a problem,help
i need guidance,help
please help,help
i am stuck,help
i need someone to help,help
i have an issue,help
please support me,help
can you guide me,help
i need help urgently,help
i am having trouble,help
something went wrong,help
i need immediate help,help
can someone help me,help
i am confused,help
please resolve my issue,help
i need technical support,help
i have a complaint,help
i am not able to proceed,help
help required,help
i need your help,help
can you please help me,help
i am facing difficulty,help
i need urgent assistance,help
please help me out,help
i cannot do this alone,help
need some guidance please,help
i am lost please help,help
please assist me urgently,help
i need help right now,help
something is wrong please help,help
how do i place an order,order
i want to order,order
i want to buy something,order
how can i purchase,order
i want to make a purchase,order
can i order online,order
how to buy,order
i want to place an order,order
how do i buy this,order
i want to order now,order
can i place an order,order
i would like to order,order
how to purchase,order
add to cart,order
i want to shop,order
i want to buy this product,order
how do i shop online,order
i want to make an order,order
can i buy this online,order
i want to purchase something,order
how to add to cart,order
i want to order this item,order
can i order this right now,order
i would like to purchase,order
how do i complete my purchase,order
i want to checkout,order
can i buy this product,order
how to place order online,order
i want to order from your store,order
i would like to buy,order
how can i buy this item,order
i want to get this product,order
can i make a purchase online,order
i want to add this to my order,order
how do i order this,order
i want to buy now,order
can you help me place an order,order
i would like to make a purchase,order
how do i buy from your store,order
i want to purchase this now,order
where is my order,order_status
track my order,order_status
what is the status of my order,order_status
when will my order arrive,order_status
my order has not arrived,order_status
how long will delivery take,order_status
is my order shipped,order_status
order tracking,order_status
where is my package,order_status
delivery status,order_status
has my order been dispatched,order_status
when will i get my order,order_status
i want to track my package,order_status
my package is missing,order_status
order not received,order_status
i want to know my order status,order_status
when will my package be delivered,order_status
my order is delayed,order_status
i have not received my order yet,order_status
can you track my order,order_status
where is my delivery,order_status
how long till my order arrives,order_status
i want to check my order,order_status
my shipment is late,order_status
